symbol,Date,Open,High,Low,Close,Volume,Adj Close,rsi_14,macd,macd_signal,ema_20,sma_50,bollinger_upper,bollinger_lower,future_close,future_return_pct,label,pe_ratio,eps,roe,debt_to_equity,dividend_yield,market_cap,company_name,sector,industry
ASIANPAINT.NS,2026-04-27,2503.0,2519.800048828125,2475.5,2485.199951171875,452092.0,,60.98727071855346,63.055427475306715,41.41469108609106,2401.6703307756748,2331.06599609375,2630.3144299979767,2081.2455553535856,2485.199951171875,8.9808830730801,1.0,62.11447,40.01,,17.609,1.01,2382298611712.0,Asian Paints Limited,Basic Materials,Specialty Chemicals
BAJFINANCE.NS,2026-04-27,923.0499877929688,928.9500122070312,908.2999877929688,921.7999877929688,7811483.0,,54.19268556230598,7.388954410656993,0.756418399373966,905.3245401031074,924.358994140625,971.5065453093949,808.5284400421675,921.7999877929688,-1.9153011527773367,0.0,31.852106,28.94,,310.294,0.48,5730227191808.0,Bajaj Finance Limited,Financial Services,Credit Services
HCLTECH.NS,2026-04-27,1209.0,1232.0,1201.0,1228.199951171875,6066189.0,,32.08396682952916,-29.951969505081934,-9.530333479531926,1340.4101397713762,1365.7361254882812,1504.8763731067988,1217.9405214244512,1228.199951171875,-8.063632589840777,0.0,20.016296,61.36,0.23357001,6.935,7.98,3323082309632.0,HCL Technologies Limited,Technology,Information Technology Services
HDFCBANK.NS,2026-04-27,787.5,793.0,785.0,789.7999877929688,18113274.0,,45.9596672040123,-9.270904538270656,-13.008275170743486,796.7919424428827,835.7090002441406,831.5775315674277,738.0574720946815,789.7999877929688,-7.0221936025500185,0.0,17.625528,44.81,0.13818,,1.66,12159006277632.0,HDFC Bank Limited,Financial Services,Banks - Regional
HDFCLIFE.NS,2026-04-27,595.0,603.4500122070312,590.0999755859375,597.2999877929688,5547998.0,,42.62043365123522,-11.373272154515234,-13.515874629037652,610.1147045804399,648.6680004882812,638.1281456311891,564.6868629137329,597.2999877929688,-8.962046941162702,0.0,67.26351,8.88,0.11281,17.46,0.36,1288543141888.0,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life
HINDUNILVR.NS,2026-04-27,2334.89990234375,2362.800048828125,2325.0,2328.300048828125,1099533.0,,63.848253427898285,41.32439472600936,12.23241249129623,2228.020933655745,2225.4800048828124,2388.7016677777838,1973.458366401904,2328.300048828125,6.305364840427423,1.0,54.071064,43.06,,3.611,1.85,5470553636864.0,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products
ICICIBANK.NS,2026-04-27,1327.9000244140625,1335.9000244140625,1310.9000244140625,1314.0999755859375,15385548.0,,49.33479821058695,12.842231253644286,8.238363289930012,1320.105263377062,1325.6480004882812,1415.4169357794842,1185.5030593377035,1314.0999755859375,0.16769198345411804,1.0,17.56818,74.8,0.16359,,0.83,9415697629184.0,ICICI Bank Limited,Financial Services,Banks - Regional
INFY.NS,2026-04-27,1154.5999755859375,1179.9000244140625,1154.5,1170.300048828125,19578349.0,,30.950498408269866,-26.44735938805252,-14.143480497279485,1271.3239250192494,1302.1219995117187,1381.4344733440196,1185.7354973591052,1170.300048828125,-9.67118934230802,0.0,15.593604,75.05,0.31439,9.827,4.16,4735781830656.0,Infosys Limited,Technology,Information Technology Services
ITC.NS,2026-04-27,303.6499938964844,305.6499938964844,302.8500061035156,303.8500061035156,14377575.0,,50.15482125315904,-0.16647051298889437,-1.181086516342814,303.03704196875515,307.64300231933595,311.639853696737,289.10515057572394,303.8500061035156,-1.682569776684984,0.0,18.686962,16.26,,0.507,4.76,3807079038976.0,ITC Limited,Consumer Defensive,Tobacco
MARUTI.NS,2026-04-27,13153.0,13270.0,13043.0,13222.0,312757.0,,48.23876841815192,-64.52450957803194,-117.98474101865143,13234.700412699625,13713.72,13927.551518940709,12248.74848105929,13222.0,-4.651330496863056,0.0,27.838718,474.95,,0.1,1.03,4157030531072.0,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers
